from,to,d,EF
Housing high density,Housing low density,0,-9999.0
Housing high density,Housing low density,1,0.44797535520340448
Housing high density,Housing low density,2,0.4439876820274774
Housing high density,Housing low density,3,0.3953051382503755
Housing high density,Housing low density,4,0.32327802307101378
Housing high density,Housing low density,5,0.30903941341246843
Housing high density,Housing low density,6,0.29091612008021117
Housing high density,Housing low density,7,0.25621467178566709
Housing high density,Housing low density,8,0.22816398397332421
Housing high density,Housing high density,0,-9999.0
Housing high density,Housing high density,1,0.91503128406436662
Housing high density,Housing high density,2,0.80503633611429004
Housing high density,Housing high density,3,0.7209824803111432
Housing high density,Housing high density,4,0.71544283828292543
Housing high density,Housing high density,5,0.67053250033772249
Housing high density,Housing high density,6,0.62614271721555703
Housing high density,Housing high density,7,0.59724167784592197
Housing high density,Housing high density,8,0.57823226713454112
Housing high density,Industry,0,-0.75435038443579083
Housing high density,Industry,1,0.11873021447158079
Housing high density,Industry,2,0.2681400757608835
Housing high density,Industry,3,0.32425940337186454
Housing high density,Industry,4,0.32172562693242335
Housing high density,Industry,5,0.28968422138732802
Housing high density,Industry,6,0.25665386328818263
Housing high density,Industry,7,0.2656435874756517
Housing high density,Industry,8,0.2611412394024295
Housing high density,Services,0,0.8872181481758451
Housing high density,Services,1,0.9058146366675035
Housing high density,Services,2,0.9003256618480735
Housing high density,Services,3,0.80562909239698954
Housing high density,Services,4,0.72140685350122857
Housing high density,Services,5,0.58389127386757222
Housing high density,Services,6,0.52873661506035818
Housing high density,Services,7,0.50366267417303978
Housing high density,Services,8,0.40417297213041581
Housing high density,Socio cultural uses,0,0.81663707389013784
Housing high density,Socio cultural uses,1,0.79970590950816867
Housing high density,Socio cultural uses,2,0.81287173197374329
Housing high density,Socio cultural uses,3,0.80596044232760933
Housing high density,Socio cultural uses,4,0.63356997850431029
Housing high density,Socio cultural uses,5,0.55760596629873282
Housing high density,Socio cultural uses,6,0.51652811225772532
Housing high density,Socio cultural uses,7,0.47642158506266163
Housing high density,Socio cultural uses,8,0.41504738483485459
Housing high density,Forest,0,-9999.0
Housing high density,Forest,1,-0.91599734684430312
Housing high density,Forest,2,-0.33054475621159835
Housing high density,Forest,3,-0.22779552592467903
Housing high density,Forest,4,-0.14500539377857272
Housing high density,Forest,5,-0.10811114832064757
Housing high density,Forest,6,-0.12444715393140393
Housing high density,Forest,7,-0.092727141528823595
Housing high density,Forest,8,-0.1218035357653254
Housing high density,Extensive grasslands,0,-9999.0
Housing high density,Extensive grasslands,1,-0.67137614937102696
Housing high density,Extensive grasslands,2,-0.56303667458218876
Housing high density,Extensive grasslands,3,-0.44736133799816297
Housing high density,Extensive grasslands,4,-0.36124982400875549
Housing high density,Extensive grasslands,5,-0.26319321176353389
Housing high density,Extensive grasslands,6,-0.19629227241555422
Housing high density,Extensive grasslands,7,-0.11785974756045785
Housing high density,Extensive grasslands,8,-0.029875924008484135
Housing high density,Nature,0,-9999.0
Housing high density,Nature,1,-0.39276753072029663
Housing high density,Nature,2,-0.15743521785567618
Housing high density,Nature,3,-0.0027062241126006741
Housing high density,Nature,4,-0.014318612393564679
Housing high density,Nature,5,0.027579597031273422
Housing high density,Nature,6,0.069603417366507409
Housing high density,Nature,7,0.078773517947430746
Housing high density,Nature,8,0.05799474954355948
Housing high density,Recreation areas,0,0.17089675657230699
Housing high density,Recreation areas,1,0.44397522968182662
Housing high density,Recreation areas,2,0.46933930036651417
Housing high density,Recreation areas,3,0.45414934898641862
Housing high density,Recreation areas,4,0.45303248730360429
Housing high density,Recreation areas,5,0.41458046851588082
Housing high density,Recreation areas,6,0.40097542360315225
Housing high density,Recreation areas,7,0.36711072235222902
Housing high density,Recreation areas,8,0.35189674082308808
Industry,Greenhouses,0,-0.73602579972223181
Industry,Greenhouses,1,-0.33808579105019421
Industry,Greenhouses,2,-0.21216114146024295
Industry,Greenhouses,3,-0.056187079592078547
Industry,Greenhouses,4,0.029560483537995431
Industry,Greenhouses,5,0.090617939589742402
Industry,Greenhouses,6,0.11866513784963188
Industry,Greenhouses,7,0.12930543396480024
Industry,Greenhouses,8,0.19196683876470319
Industry,Housing low density,0,0.15741790586612939
Industry,Housing low density,1,0.093177009611441181
Industry,Housing low density,2,0.11581227906014525
Industry,Housing low density,3,0.21095909191863499
Industry,Housing low density,4,0.21973895134039581
Industry,Housing low density,5,0.19907484229207151
Industry,Housing low density,6,0.14633852775259093
Industry,Housing low density,7,0.14221605056375117
Industry,Housing low density,8,0.15188851219179014
Industry,Housing high density,0,0.4364909989751512
Industry,Housing high density,1,0.35413970613801982
Industry,Housing high density,2,0.33903228787527778
Industry,Housing high density,3,0.32777475572286419
Industry,Housing high density,4,0.35483413171202594
Industry,Housing high density,5,0.37568758285858056
Industry,Housing high density,6,0.34803018264512781
Industry,Housing high density,7,0.3292914209834108
Industry,Housing high density,8,0.31861351032733315
Industry,Industry,0,-9999.0
Industry,Industry,1,0.65652415051568436
Industry,Industry,2,0.54863511267512055
Industry,Industry,3,0.47366719944069885
Industry,Industry,4,0.41711941741421982
Industry,Industry,5,0.40270946165717558
Industry,Industry,6,0.34795726230965884
Industry,Industry,7,0.30797234202897772
Industry,Industry,8,0.26179723148559936
Industry,Services,0,0.70330689410803071
Industry,Services,1,0.32803087007193699
Industry,Services,2,0.28417758636605506
Industry,Services,3,0.39216440625780308
Industry,Services,4,0.40394465707767729
Industry,Services,5,0.43654324157787688
Industry,Services,6,0.33071010224455416
Industry,Services,7,0.27236727643919961
Industry,Services,8,0.27320359158099178
Industry,Socio cultural uses,0,0.46026884542173629
Industry,Socio cultural uses,1,0.30536688543599316
Industry,Socio cultural uses,2,0.36191505380802008
Industry,Socio cultural uses,3,0.40162899894145576
Industry,Socio cultural uses,4,0.37196191822160857
Industry,Socio cultural uses,5,0.30518691610387455
Industry,Socio cultural uses,6,0.26562862633870771
Industry,Socio cultural uses,7,0.21982074274240215
Industry,Socio cultural uses,8,0.247690141800712
Industry,Forest,0,0.13001864535009289
Industry,Forest,1,-0.24752820468010134
Industry,Forest,2,-0.19924258941414227
Industry,Forest,3,-0.05852477014254677
Industry,Forest,4,-0.0091558593531823641
Industry,Forest,5,0.04856658658003532
Industry,Forest,6,-0.0089746640034054723
